[INIT] 建立 type_2 log 檔案
type_2:
Game : 福星聚宝               | Account : qa0006  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 埃及女王               | Account : qa0036  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 火爆辣椒               | Account : qa0037  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 跳起来                 | Account : qa0038  | Expect : >=12   | Actual : 12     | ✅ Passed
Game : 明日之星               | Account : qa0039  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 双倍拉霸               | Account : qa0040  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 发财虎                 | Account : qa0041  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 乐端午                 | Account : qa0042  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 玛雅宝石               | Account : qa0043  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 多福财神               | Account : qa0044  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 黄金王国               | Account : qa0045  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 鱿鱼游戏               | Account : qa0046  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 黄金足球HOLD AND WIN   | Account : qa0047  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 多福多财               | Account : qa0048  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 幸运王牌               | Account : qa0049  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 牛展钱坤               | Account : qa0050  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 冒险岛                 | Account : qa0051  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 泰国美食秀             | Account : qa0052  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 王者野牛MEGAWAYS       | Account : qa0053  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 泰山                   | Account : qa0054  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 连环船                 | Account : qa0055  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 海盜寶藏               | Account : qa0056  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 熊猫王 HOLD AND WIN    | Account : qa0057  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 碧波                   | Account : qa0058  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 宝石矿坑               | Account : qa0059  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 圣诞礼物               | Account : qa0060  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 西游记                 | Account : qa0061  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 金龙珠                 | Account : qa0062  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 吸血鬼猎人             | Account : qa0063  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 跳爽爽                 | Account : qa0064  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 史前巨象               | Account : qa0065  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 川剧脸谱               | Account : qa0066  | Expect : >=10   | Actual : 10     | ✅ Passed
Game : 五福临门               | Account : qa0067  | Expect : >=11   | Actual : 11     | ✅ Passed
Game : 五鲤争霸               | Account : qa0068  | Expect : >=12   | Actual : 12     | ✅ Passed
Game : 埃及神战               | Account : qa0069  | Expect : >=9    | Actual : 9      | ❌ Failed
Game : 新年钱滚钱             | Account : qa0070  | Expect : >=1    | Actual : 1      | ❌ Failed
Game : 钱滚钱                 | Account : qa0071  | Expect : >=1    | Actual : 1      | ❌ Failed
